Gender,Age,Length(cm),weight(Kg),Status,
Boy,6-23,45,2.4,Normal,
Boy,6-23,45,2.2,Mild Malnutrition,
Boy,6-23,45,2.0,Moderate Malnutrition,
Boy,6-23,45,1.9,Severe  Malnutrition,
Boy,6-23,46,2.6,Normal,
Boy,6-23,46,2.4,Mild Malnutrition,
Boy,6-23,46,2.2,Moderate Malnutrition,
Boy,6-23,46,2.0,Severe  Malnutrition,
Boy,6-23,47,2.8,Normal,
Boy,6-23,47,2.5,Mild Malnutrition,
Boy,6-23,47,2.3,Moderate Malnutrition,
Boy,6-23,47,2.1,Severe  Malnutrition,
Boy,6-23,48,2.9,Normal,
Boy,6-23,48,2.7,Mild Malnutrition,
Boy,6-23,48,2.5,Moderate Malnutrition,
Boy,6-23,48,2.3,Severe  Malnutrition,
Boy,6-23,49,3.1,Normal,
Boy,6-23,49,2.9,Mild Malnutrition,
Boy,6-23,49,2.6,Moderate Malnutrition,
Boy,6-23,49,2.4,Severe  Malnutrition,
Boy,6-23,50,3.3,Normal,
Boy,6-23,50,3.0,Mild Malnutrition,
Boy,6-23,50,2.8,Moderate Malnutrition,
Boy,6-23,50,2.6,Severe  Malnutrition,
Girl,6-23,45,2.5,Normal,
Girl,6-23,45,2.3,Mild Malnutrition, 
Girl,6-23,45,2.1,Moderate Malnutrition,
Girl,6-23,45,1.9,Severe  Malnutrition,
Girl,6-23,46,2.6,Normal,
Girl,6-23,46,2.4,Mild Malnutrition,
Girl,6-23,46,2.2,Moderate Malnutrition,
Girl,6-23,46,2.0,Severe  Malnutrition,
Girl,6-23,47,2.8,Normal,
Girl,6-23,47,2.6,Mild Malnutrition,
Girl,6-23,47,2.4,Moderate Malnutrition,
Girl,6-23,47,2.2,Severe  Malnutrition,
Girl,6-23,48,3.0,Normal,
Girl,6-23,48,2.7,Mild Malnutrition,
Girl,6-23,48,2.5,Moderate Malnutrition,
Girl,6-23,48,2.3,Severe  Malnutrition,
Girl,6-23,49,3.2,Normal,
Girl,6-23,49,2.9,Mild Malnutrition,
Girl,6-23,49,2.6,Moderate Malnutrition,
Girl,6-23,49,2.4,Severe  Malnutrition,
Girl,6-23,50,3.4,Normal,
Girl,6-23,50,3.1,Mild Malnutrition,
Girl,6-23,50,2.8,Moderate Malnutrition,
Girl,6-23,50,2.6,Severe  Malnutrition,
Boy,6-23,51,3.5,Normal,
Boy,6-23,51,3.2,Mild Malnutrition,
Boy,6-23,51,3.0,Moderate Malnutrition,
Boy,6-23,51,2.7,Severe  Malnutrition,
Boy,6-23,52,3.8,Normal,
Boy,6-23,52,3.5,Mild Malnutrition,
Boy,6-23,52,3.2,Moderate Malnutrition,
Boy,6-23,52,2.9,Severe  Malnutrition,
Boy,6-23,53,4.0,Normal,
Boy,6-23,53,3.7,Mild Malnutrition,
Boy,6-23,53,3.4,Moderate Malnutrition,
Boy,6-23,53,3.1,Severe  Malnutrition,
Boy,6-23,54,4.3,Normal,
Boy,6-23,54,3.9,Mild Malnutrition,
Boy,6-23,54,3.6,Moderate Malnutrition,
Boy,6-23,54,3.3,Severe  Malnutrition,
Boy,6-23,55,4.5,Normal,
Boy,6-23,55,4.2,Mild Malnutrition,
Boy,6-23,55,3.8,Moderate Malnutrition,
Boy,6-23,55,3.6,Severe  Malnutrition,
